# id> internal counter
# ope_call_id> internal foreign key for ope_calls structure. Each represents one call. Relation 1:1 to ope_calls
# ope_wup_question_id> id of predefined call type - what is customer asking for (no custom possible)
# ope_wup_answer_id> id of predefined answeres to that question (no custom possible)
# created_ad, updated_at> timestamp of database insert

"id","ope_call_id","ope_wup_question_id","ope_wup_answer_id","created_at","updated_at"
"453","310113","3","7","2014-03-28 11:46:55","2014-03-28 11:46:55"
"455","310231","5","3","2014-03-28 11:46:58","2014-03-28 11:46:58"
"457","310341","5","3","2014-03-28 11:47:45","2014-03-28 11:47:45"
"459","310419","5","3","2014-03-28 11:48:29","2014-03-28 11:48:29"
"461","310287","1","1","2014-03-28 11:48:44","2014-03-28 11:48:44"
"463","310479","7","9","2014-03-28 11:48:44","2014-03-28 11:48:44"
"465","310503","5","5","2014-03-28 11:49:12","2014-03-28 11:49:12"
"467","310587","5","3","2014-03-28 11:49:38","2014-03-28 11:49:38"
"469","310571","5","3","2014-03-28 11:50:01","2014-03-28 11:50:01"
"471","309879","5","7","2014-03-28 11:50:56","2014-03-28 11:50:56"
"473","309879","5","19","2014-03-28 11:50:59","2014-03-28 11:50:59"
"475","309879","1","1","2014-03-28 11:51:02","2014-03-28 11:51:02"
"477","310775","5","3","2014-03-28 11:51:04","2014-03-28 11:51:04"
"479","310703","3","3","2014-03-28 11:51:21","2014-03-28 11:51:21"
"481","310629","5","3","2014-03-28 11:51:32","2014-03-28 11:51:32"
"483","310895","5","3","2014-03-28 11:52:07","2014-03-28 11:52:07"
"485","310873","5","3","2014-03-28 11:52:19","2014-03-28 11:52:19"
"487","311035","5","3","2014-03-28 11:53:05","2014-03-28 11:53:05"
"491","311021","5","5","2014-03-28 11:53:59","2014-03-28 11:53:59"
"493","311173","7","9","2014-03-28 11:54:01","2014-03-28 11:54:01"
"495","311231","11","17","2014-03-28 11:54:36","2014-03-28 11:54:36"
"497","311127","7","9","2014-03-28 11:54:41","2014-03-28 11:54:41"
"499","311353","7","9","2014-03-28 11:55:38","2014-03-28 11:55:38"
"501","311347","5","7","2014-03-28 11:56:14","2014-03-28 11:56:14"
"503","311421","5","3","2014-03-28 11:56:39","2014-03-28 11:56:39"
"505","311319","5","7","2014-03-28 11:57:09","2014-03-28 11:57:09"
"507","311465","7","9","2014-03-28 11:57:40","2014-03-28 11:57:40"
"509","311577","11","17","2014-03-28 11:58:40","2014-03-28 11:58:40"
"511","311649","5","3","2014-03-28 12:00:05","2014-03-28 12:00:05"
"513","311553","11","17","2014-03-28 12:00:08","2014-03-28 12:00:08"
"515","311553","3","7","2014-03-28 12:00:16","2014-03-28 12:00:16"
"517","311855","5","3","2014-03-28 12:00:59","2014-03-28 12:00:59"
"519","311963","3","3","2014-03-28 12:01:39","2014-03-28 12:01:39"
"521","311831","5","7","2014-03-28 12:01:44","2014-03-28 12:01:44"
"523","311989","5","7","2014-03-28 12:02:27","2014-03-28 12:02:27"
"525","312031","3","7","2014-03-28 12:02:44","2014-03-28 12:02:44"
"527","312009","5","7","2014-03-28 12:03:05","2014-03-28 12:03:05"
"529","312299","5","3","2014-03-28 12:04:36","2014-03-28 12:04:36"
"531","312163","5","3","2014-03-28 12:05:07","2014-03-28 12:05:07"
"533","312217","3","7","2014-03-28 12:05:23","2014-03-28 12:05:23"
"535","312427","5","3","2014-03-28 12:05:54","2014-03-28 12:05:54"
