# id> internal primary key for ope_calls structure. Each represents one call
# phone_number> hashed incoming phone number
# operator> person who picked the call
# line> type of incoming line (i.e. O2 mobile, T-mobile prepaid etc.)
# answered_at> time of incoming call start (when operator starts to talk)
# droped_at> time of call end
# ended_at> time when operator finished the call (after call tasks are done)
# created_ad, updated_at> timestamp of database insert
# line_id> id of service that customer called at

"id","phone_number","operator","line","answered_at","droped_at","ended_at","created_at","updated_at","line_id"
"93","ab8ea69317b70784eaa368555ae8083e","80150","line 4","2014-03-14 18:33:22","NULL","NULL","2014-03-14 18:33:20","2014-03-14 18:33:20","NULL"
"95","a7ab749ab53b978970d4cb01986b481a","80527","line 3","2014-03-14 18:33:27","NULL","NULL","2014-03-14 18:33:22","2014-03-14 18:33:22","NULL"
"97","78fd99b482a855445eb53c4fb49a678f","80134","line 2","2014-03-14 18:33:28","NULL","NULL","2014-03-14 18:33:26","2014-03-14 18:33:26","NULL"
"99","f9cdd894f0c0c9765f6d52ac58cb9ad5","80122","line 8","2014-03-14 18:33:31","NULL","NULL","2014-03-14 18:33:29","2014-03-14 18:33:29","NULL"
"101","f616a5ad3698b9a0223f282d13b333a6","80104","line 2","2014-03-14 18:33:49","NULL","NULL","2014-03-14 18:33:47","2014-03-14 18:33:47","NULL"
"103","33e7e95e8ec1467c1e83ad9f406159a0","80039","line 2","2014-03-14 18:33:57","NULL","NULL","2014-03-14 18:33:55","2014-03-14 18:33:55","NULL"
"105","57748113d08bc488890fbc6c14e21d2c","80277","line 1","2014-03-14 18:33:57","NULL","NULL","2014-03-14 18:33:55","2014-03-14 18:33:55","NULL"
"107","9fe920f081622f3c171f1dbcd9fe8ef0","80117","line 4","2014-03-14 18:33:57","NULL","NULL","2014-03-14 18:33:56","2014-03-14 18:33:56","NULL"
"109","f059d23e54c0ad53b3ec2506e1d05ced","80099","line 1","2014-03-14 18:33:58","NULL","NULL","2014-03-14 18:33:55","2014-03-14 18:33:55","NULL"
"111","926b43154fef02ec411871d2000be317","80527","line 1","2014-03-14 18:34:05","NULL","NULL","2014-03-14 18:33:59","2014-03-14 18:33:59","NULL"
"113","12b7469989cf1cee5419c5fb5a3c081c","80509","line 2","2014-03-14 18:34:21","NULL","NULL","2014-03-14 18:34:18","2014-03-14 18:34:18","NULL"
"115","84a23ff3f8b146916f0a0e0dde41f38b","80332","line 2","2014-03-14 18:34:30","NULL","NULL","2014-03-14 18:34:28","2014-03-14 18:34:28","NULL"
"117","e8040e3a26d89fc89852ec91441490a7","80277","line 3","2014-03-14 18:34:45","NULL","NULL","2014-03-14 18:34:43","2014-03-14 18:34:43","NULL"
"119","ae17e1cb47e6948bcfc62d55292ce6a5","80097","line 1","2014-03-14 18:34:45","NULL","NULL","2014-03-14 18:34:43","2014-03-14 18:34:43","NULL"
"121","c87401ee198ef145612a47a97429b8a3","80506","line 2","2014-03-14 18:34:49","NULL","NULL","2014-03-14 18:34:47","2014-03-14 18:34:47","NULL"
"123","be27ab8358d0646b87859fd9acc2ebf5","80117","line 1","2014-03-14 18:34:54","NULL","NULL","2014-03-14 18:34:52","2014-03-14 18:34:52","NULL"
"125","0b62f8160013f2e87e50871e32789a68","80099","line 4","2014-03-14 18:35:25","NULL","NULL","2014-03-14 18:35:23","2014-03-14 18:35:23","NULL"
"127","0e5b00dbf076eb934d721453eacddf20","80104","line 1","2014-03-14 18:35:29","NULL","NULL","2014-03-14 18:35:27","2014-03-14 18:35:27","NULL"
"129","69a249cc93f9e363ad667ab8fcd28c54","80277","line 1","2014-03-14 18:35:29","NULL","NULL","2014-03-14 18:35:29","2014-03-14 18:35:29","NULL"
"131","1833b14cc2550f38db3d4f5e27a93573","80332","line 3","2014-03-14 18:35:44","NULL","NULL","2014-03-14 18:35:42","2014-03-14 18:35:42","NULL"
"133","2b9853a7325be056d8e258473099981c","80447","line 2","2014-03-14 18:35:47","NULL","NULL","2014-03-14 18:35:44","2014-03-14 18:35:44","NULL"
"135","d034ae4d7b10392971a8e9d3e5b3ec7b","80039","line 6","2014-03-14 18:35:49","NULL","NULL","2014-03-14 18:35:47","2014-03-14 18:35:47","NULL"
"137","30d3d7d2f6c7394a9b999672db31c7c4","80134","line 2","2014-03-14 18:35:49","NULL","NULL","2014-03-14 18:35:48","2014-03-14 18:35:48","NULL"
"139","bd039953c955e9e0af59e3e36a2205d1","80506","line 2","2014-03-14 18:36:06","NULL","NULL","2014-03-14 18:36:03","2014-03-14 18:36:03","NULL"
"141","744035db9d7ddaa901e1abdb8600fc41","80239","line 5","2014-03-14 18:36:07","NULL","NULL","2014-03-14 18:36:05","2014-03-14 18:36:05","NULL"
"143","776fe3925b5e1ad8f4d8d68804e64953","80527","line 1","2014-03-14 18:36:25","NULL","NULL","2014-03-14 18:36:19","2014-03-14 18:36:19","NULL"
"145","cae0d5bc6b6e00c70f9475befdedfbfd","80117","line 2","2014-03-14 18:36:21","NULL","NULL","2014-03-14 18:36:19","2014-03-14 18:36:19","NULL"
"147","651ca73051a4e8117bc2b6c8550c7acb","80425","line 1","2014-03-14 18:36:23","NULL","NULL","2014-03-14 18:36:21","2014-03-14 18:36:21","NULL"
"149","130ce3b6aa9aa5a3b4ee49df134390a7","80097","line 1","2014-03-14 18:36:23","NULL","NULL","2014-03-14 18:36:21","2014-03-14 18:36:21","NULL"
"151","5c8bc90171ba50037728698f64c75730","80099","line 2","2014-03-14 18:36:48","NULL","NULL","2014-03-14 18:36:46","2014-03-14 18:36:46","NULL"
"153","a64c3287cf86924a3680da1a15c3b12e","80134","line 6","2014-03-14 18:36:52","NULL","NULL","2014-03-14 18:36:51","2014-03-14 18:36:51","NULL"
"155","ad4e4196d9ca00c0321b1e75ac90a82e","80097","line 1","2014-03-14 18:37:03","NULL","NULL","2014-03-14 18:37:01","2014-03-14 18:37:01","NULL"
"157","ca906201088857eb47a20eec432b1e32","80509","line 2","2014-03-14 18:37:04","NULL","NULL","2014-03-14 18:37:00","2014-03-14 18:37:00","NULL"
"159","467f9032ce172054c11d889d8efee5c7","80104","line 1","2014-03-14 18:37:20","NULL","NULL","2014-03-14 18:37:18","2014-03-14 18:37:18","NULL"
"161","24f0613bbb5a6fcd1664227f826e9ef4","80039","line 1","2014-03-14 18:37:21","NULL","NULL","2014-03-14 18:37:19","2014-03-14 18:37:19","NULL"
"163","ea66be2ce49aaef1787ccb88da4dddb6","80277","line 3","2014-03-14 18:37:58","NULL","NULL","2014-03-14 18:37:56","2014-03-14 18:37:56","NULL"
"165","f683eccbf203bc0cd1e17978ad1a0b6b","80527","line 2","2014-03-14 18:38:03","NULL","NULL","2014-03-14 18:37:57","2014-03-14 18:37:57","NULL"
"167","92eb2ea575c8f5ed125d1cd5a6d36af0","80117","line 1","2014-03-14 18:38:01","NULL","NULL","2014-03-14 18:37:59","2014-03-14 18:37:59","NULL"
"169","3499d0ca4cf66635ab04715193a67916","80447","line 2","2014-03-14 18:38:22","NULL","NULL","2014-03-14 18:38:20","2014-03-14 18:38:20","NULL"
"171","3d22ca8bf50a1ceaea2b95f290820dbd","80332","line 4","2014-03-14 18:38:25","NULL","NULL","2014-03-14 18:38:23","2014-03-14 18:38:23","NULL"
