# call_id> Primární klíč. Pokud je 40 znaků dlouhý, hovor nemá v ostatních tabulkách vazby. Pokud je 20 znaků dlouhý, existují vazební data v ostatních out.c tabulkách
# length> Délka hovoru v sekundách
# from> hash volajícího čísla
# to> pokud je hodnota 1xxxx, jedná se o příchozí hovor a ID znamená číslo linky. Pokud je hodnota 8xxxx, je to ID konkrétního operátora (zvedače).
# international> zda jde o mezinárodní volání
# time_block> časový blok, kdy došlo k uskutečnění hovoru
# service_id> id služby na kterou zákazník volá
# length_9>
# length_C>
# length_O>
# length_7>
# operator> telefonní operátor (O2, T-mobile...)
# ope_agent> z ope_calls
# ope_line> z ope_calls
# wup_question_id> z ope_wup_logs
# wup_answer_id> z ope_wup_logs
# cancelled>
# ivr>
# time_segment_id>
# length_B>
# transferred_external> zda došlo k přepojení hovoru

"call_id","length","from","to","international","time_block","service_id","length_9","length_C","length_O","length_7","operator","ope_agent","ope_line","wup_question_id","wup_answer_id","cancelled","ivr","time_segment_id","length_B","transferred_external"
"1000006080390512112115491216401174325898","446","7077a0ff8c7ba66d23c72e0711d5e0f2","80060","0","2013-10-15 18:00:00","NULL","446","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001043931403076204","68","4e2193bff028a7e6ed9e2f7eb0e32785","11886","0","2014-06-18 09:15:00","6","68","59","NULL","59","-1","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000612745009587198328632948326052499","83","eb2870edde3956659069a9ead8ffdb3f","11885","0","2013-11-10 14:45:00","6","83","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000620897844759655383767729125212371","190","ab3a9182a940d1722530d17f79fca6af","80368","0","2012-12-18 14:15:00","NULL","190","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"1000006276612321544015709653391543247477","69","ff035c8df82da7657f05d0ac8d130aa4","11886","0","2013-02-12 13:45:00","6","69","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001110681406920348","234","a47ea6eb38e9780ed260ba690fed1c97","11885","0","2014-08-01 21:00:00","6","234","219","NULL","219","2","NULL","NULL","NULL","NULL","0","0","NULL","NULL","0"
"100000653567295777104383520240127693164","104","637f7de5278022ecb2deb318b9fd881e","80034","0","2013-01-09 07:00:00","NULL","104","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000655307746486194645071324007554331","40","6b87fab85c46e7db5b12f60442f2038c","80045","0","2012-12-20 10:00:00","NULL","40","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"100000697601371717963804287863870779717","223","00d31a0772f242164ec27e1698a58baf","11885","0","2014-06-03 08:45:00","6","223","NULL","NULL","NULL","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"00001058431410414328","82","2fecabed221982e7bbbcbd1c0c298376","11804","0","2014-09-11 07:45:00","7","82","74","NULL","74","3","NULL","NULL","NULL","NULL","0","0","NULL","26","1"
